VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee,LocationID_DO,lat_DO,lng_DO,LocationID_PU,lat_PU,lng_PU,timestamp
1,2022-01-02 07:12:27,2022-01-02 07:16:36,1.0,0.6,1.0,N,237,140,2,4.5,2.5,0.5,0.0,0.0,0.3,7.8,2.5,0.0,140,40.76550681823176,-73.95456804213481,237,40.76854188466485,-73.96569149194592,2022-01-02 07:16:36 - 2022-01-02 07:12:27
2,2022-01-02 07:38:28,2022-01-02 07:46:58,1.0,2.44,1.0,N,237,107,2,10.0,0.0,0.5,0.0,0.0,0.3,13.3,2.5,0.0,107,40.737348376321,-73.98331035324628,237,40.76854188466485,-73.96569149194592,2022-01-02 07:46:58 - 2022-01-02 07:38:28
2,2022-01-02 07:59:07,2022-01-02 08:06:49,1.0,2.56,1.0,N,237,233,1,9.0,0.0,0.5,2.46,0.0,0.3,14.76,2.5,0.0,233,40.74917209822379,-73.97125597712962,237,40.76854188466485,-73.96569149194592,2022-01-02 08:06:49 - 2022-01-02 07:59:07
2,2022-01-02 07:24:30,2022-01-02 07:29:24,1.0,1.27,1.0,N,237,233,1,6.0,0.0,0.5,1.0,0.0,0.3,10.3,2.5,0.0,233,40.74917209822379,-73.97125597712962,237,40.76854188466485,-73.96569149194592,2022-01-02 07:29:24 - 2022-01-02 07:24:30
1,2022-01-02 07:18:47,2022-01-02 07:34:39,1.0,3.6,1.0,N,237,238,1,14.5,2.5,0.5,0.0,0.0,0.3,17.8,2.5,0.0,238,40.79176624678264,-73.97281451745027,237,40.76854188466485,-73.96569149194592,2022-01-02 07:34:39 - 2022-01-02 07:18:47
1,2022-01-02 07:55:12,2022-01-02 07:56:51,1.0,0.2,1.0,N,237,237,2,3.5,2.5,0.5,0.0,0.0,0.3,6.8,2.5,0.0,237,40.76854188466485,-73.96569149194592,237,40.76854188466485,-73.96569149194592,2022-01-02 07:56:51 - 2022-01-02 07:55:12
1,2022-01-02 07:03:21,2022-01-02 07:04:37,,0.5,,,237,237,0,3.5,0.0,0.5,1.02,0.0,0.3,7.82,,,237,40.76854188466485,-73.96569149194592,237,40.76854188466485,-73.96569149194592,2022-01-02 07:04:37 - 2022-01-02 07:03:21
2,2022-01-02 07:51:23,2022-01-02 07:58:45,1.0,2.07,1.0,N,237,186,1,8.5,0.0,0.5,2.36,0.0,0.3,14.16,2.5,0.0,186,40.748476361762044,-73.9924553277106,237,40.76854188466485,-73.96569149194592,2022-01-02 07:58:45 - 2022-01-02 07:51:23
2,2022-01-02 07:44:20,2022-01-02 07:53:05,1.0,1.44,1.0,N,237,262,2,8.0,0.0,0.5,0.0,0.0,0.3,11.3,2.5,0.0,262,40.77653422899526,-73.94582981800791,237,40.76854188466485,-73.96569149194592,2022-01-02 07:53:05 - 2022-01-02 07:44:20
2,2022-01-02 07:05:10,2022-01-02 07:13:22,2.0,2.31,1.0,N,237,137,2,9.0,0.0,0.5,0.0,0.0,0.3,12.3,2.5,0.0,137,40.74035923571167,-73.97711937073566,237,40.76854188466485,-73.96569149194592,2022-01-02 07:13:22 - 2022-01-02 07:05:10
2,2022-01-02 07:49:58,2022-01-02 08:04:41,5.0,4.32,1.0,N,237,231,1,14.5,0.0,0.5,20.0,0.0,0.3,37.8,2.5,0.0,231,40.718695641007926,-74.00671162438985,237,40.76854188466485,-73.96569149194592,2022-01-02 08:04:41 - 2022-01-02 07:49:58
1,2022-01-02 07:35:20,2022-01-02 07:56:03,1.0,6.9,1.0,N,237,244,1,23.0,2.5,0.5,5.25,0.0,0.3,31.55,2.5,0.0,244,40.84121866986656,-73.94166681405747,237,40.76854188466485,-73.96569149194592,2022-01-02 07:56:03 - 2022-01-02 07:35:20
1,2022-01-02 07:02:20,2022-01-02 07:08:15,0.0,2.0,1.0,N,237,75,1,7.5,2.5,0.0,2.05,0.0,0.3,12.35,2.5,0.0,75,40.790650159764766,-73.94495666768462,237,40.76854188466485,-73.96569149194592,2022-01-02 07:08:15 - 2022-01-02 07:02:20
2,2022-01-02 07:34:42,2022-01-02 07:39:31,1.0,1.25,1.0,N,237,75,1,6.0,0.0,0.5,2.0,0.0,0.3,11.3,2.5,0.0,75,40.790650159764766,-73.94495666768462,237,40.76854188466485,-73.96569149194592,2022-01-02 07:39:31 - 2022-01-02 07:34:42
1,2022-01-02 07:56:08,2022-01-02 08:02:55,1.0,1.7,1.0,N,237,100,2,7.5,2.5,0.5,0.0,0.0,0.3,10.8,2.5,0.0,100,40.75351409177484,-73.98878589284917,237,40.76854188466485,-73.96569149194592,2022-01-02 08:02:55 - 2022-01-02 07:56:08
2,2022-01-02 07:18:29,2022-01-02 07:48:07,1.0,17.55,2.0,N,237,132,2,52.0,0.0,0.5,0.0,0.0,0.3,55.3,2.5,0.0,132,40.642604521718,-73.77826365890199,237,40.76854188466485,-73.96569149194592,2022-01-02 07:48:07 - 2022-01-02 07:18:29
1,2022-01-02 07:52:52,2022-01-02 08:12:16,2.0,9.3,1.0,N,237,138,1,27.0,2.5,0.5,6.05,0.0,0.3,36.35,2.5,0.0,138,40.77486738951802,-73.8728037146871,237,40.76854188466485,-73.96569149194592,2022-01-02 08:12:16 - 2022-01-02 07:52:52
